scope,scenario,year,baseline_p05,baseline_p50,baseline_p95,scenario_p05,scenario_p50,scenario_p95,avoidable_p05,avoidable_p50,avoidable_p95
policy_only_primary,medium,2041,906187516.985882,906187516.985882,906187516.985882,870124269.891464,879283789.319709,886747139.098979,19440377.8869036,26903727.6661727,36063247.0944176
policy_only_primary,medium,2042,911776619.733912,911776619.733912,911776619.733912,875490944.952443,884706957.649738,892216339.213797,19560280.5201156,27069662.0841742,36285674.7814692
policy_only_primary,medium,2043,916664102.826892,916664102.826892,916664102.826892,880183922.485427,889449336.653727,896998971.471312,19665131.35558,27214766.1731644,36480180.3414643
policy_only_primary,medium,2044,920855695.045438,920855695.045438,920855695.045438,884208703.284634,893516485.030991,901100641.753008,19755053.2924296,27339210.0144463,36646991.7608042
policy_only_primary,medium,2045,924341289.608347,924341289.608347,924341289.608347,887555582.785112,896898596.059735,904511460.097758,19829829.5105891,27442693.5486127,36785706.8232355
policy_only_primary,medium,2046,927112908.269566,927112908.269566,927112908.269566,890216900.248447,899587928.359402,907223619.416266,19889288.8532996,27524979.9101639,36896008.0211194
policy_only_primary,medium,2047,929209886.157738,929209886.157738,929209886.157738,892230425.396082,901622649.241195,909275610.983393,19934275.1743451,27587236.9165427,36979460.7616562
policy_only_primary,medium,2048,930665250.6678,930665250.6678,930665250.6678,893627871.242562,903034805.552403,910699753.659664,19965497.0081361,27630445.1153976,37037379.4252385
policy_only_primary,medium,2049,931491550.794284,931491550.794284,931491550.794284,894421287.374202,903836573.721475,911508327.226903,19983223.567381,27654977.072809,37070263.4200818
policy_only_primary,medium,2050,931725379.155847,931725379.155847,931725379.155847,894645810.145231,904063459.971784,911737139.28486,19988239.8709873,27661919.1840633,37079569.0106165
policy_only_primary,high,2024,653370960.582632,653370960.582632,653370960.582632,653370960.582632,653370960.582632,653370960.582632,0,0,0
policy_only_primary,high,2025,670715467.916227,670715467.916227,670715467.916227,658467670.472319,660700912.486352,662637367.673026,8078100.24320066,10014555.4298746,12247797.443907
policy_only_primary,high,2026,688388975.163185,688388975.163185,688388975.163185,663247915.701379,667832092.613557,671807055.068338,16581920.0948469,20556882.5496278,25141059.4618059
policy_only_primary,high,2027,706332053.282423,706332053.282423,706332053.282423,667637499.493681,674692996.911157,680810853.588932,25521199.6934913,31639056.3712664,38694553.7887427
policy_only_primary,high,2028,724190735.15468,724190735.15468,724190735.15468,671293541.87846,680938723.797077,689302108.703576,34888626.451104,43252011.357603,52897193.2762192
policy_only_primary,high,2029,741801066.667645,741801066.667645,741801066.667645,674071681.832925,686421339.67877,697129789.026834,44671277.6408107,55379726.9888749,67729384.8347199
policy_only_primary,high,2030,759628706.050417,759628706.050417,759628706.050417,676400163.075069,691575910.3709,704734875.847105,54893830.2033122,68052795.6795173,83228542.9753476
policy_only_primary,high,2031,777377385.802562,777377385.802562,777377385.802562,692204212.847145,707734540.580244,721200964.505882,56176421.2966806,69642845.2223183,85173172.9554172
policy_only_primary,high,2032,794701110.20822,794701110.20822,794701110.20822,707629867.406699,723506285.883485,737272806.803296,57428303.4049248,71194824.3247355,87071242.8015214
policy_only_primary,high,2033,811459779.336498,811459779.336498,811459779.336498,722552376.839269,738763597.470949,752820426.993805,58639352.3426937,72696181.8655492,88907402.4972292
policy_only_primary,high,2034,827736750.721492,827736750.721492,827736750.721492,737045965.630064,753582365.132042,767921158.860313,59815591.8611786,74154385.5894496,90690785.0914285
policy_only_primary,high,2035,843911464.34658,843911464.34658,843911464.34658,751448500.508697,768308035.990927,782927022.524558,60984441.8220223,75603428.355653,92462963.8378835
policy_only_primary,high,2036,858649876.65352,858649876.65352,858649876.65352,764572102.089941,781726079.342118,796600377.789551,62049498.8639686,76923797.3114018,94077774.563579
policy_only_primary,high,2037,871641765.462096,871641765.462096,871641765.462096,776140537.614797,793554064.854862,808653420.379445,62988345.0826513,78087700.6072343,95501227.8472992
policy_only_primary,high,2038,882877197.365524,882877197.365524,882877197.365524,786144962.027891,803782949.025687,819076934.715441,63800262.6500829,79094248.3398373,96732235.3376336
