model,K,year,param1,param2,rate_percent
Logistic,80,2050,0.0626328664937529,2010.08511234845,73.9312549081064
Logistic,85,2024,0.0591988745016341,2012.26519748669,56.6957465889645
Logistic,85,2025,0.0591988745016341,2012.26519748669,57.8021117080286
Logistic,85,2026,0.0591988745016341,2012.26519748669,58.8851505736474
Logistic,85,2027,0.0591988745016341,2012.26519748669,59.943757062882
Logistic,85,2028,0.0591988745016341,2012.26519748669,60.9769579531564
Logistic,85,2029,0.0591988745016341,2012.26519748669,61.983912939253
Logistic,85,2030,0.0591988745016341,2012.26519748669,62.9639133792638
Logistic,85,2031,0.0591988745016341,2012.26519748669,63.9163798719089
Logistic,85,2032,0.0591988745016341,2012.26519748669,64.840858779993
Logistic,85,2033,0.0591988745016341,2012.26519748669,65.7370178234796
Logistic,85,2034,0.0591988745016341,2012.26519748669,66.6046408708353
Logistic,85,2035,0.0591988745016341,2012.26519748669,67.443622059192
Logistic,85,2036,0.0591988745016341,2012.26519748669,68.2539593727847
Logistic,85,2037,0.0591988745016341,2012.26519748669,69.0357478054367
Logistic,85,2038,0.0591988745016341,2012.26519748669,69.7891722269751
Logistic,85,2039,0.0591988745016341,2012.26519748669,70.5145000657938
Logistic,85,2040,0.0591988745016341,2012.26519748669,71.2120739107608
Logistic,85,2041,0.0591988745016341,2012.26519748669,71.882304125678
Logistic,85,2042,0.0591988745016341,2012.26519748669,72.5256615589351
Logistic,85,2043,0.0591988745016341,2012.26519748669,73.1426704201693
Logistic,85,2044,0.0591988745016341,2012.26519748669,73.7339013849546
Logistic,85,2045,0.0591988745016341,2012.26519748669,74.2999649780324
Logistic,85,2046,0.0591988745016341,2012.26519748669,74.8415052755666
Logistic,85,2047,0.0591988745016341,2012.26519748669,75.359193957506
Logistic,85,2048,0.0591988745016341,2012.26519748669,75.8537247324842
Logistic,85,2049,0.0591988745016341,2012.26519748669,76.3258081498511
Logistic,85,2050,0.0591988745016341,2012.26519748669,76.7761668064502
Logistic,90,2024,0.0564458208036672,2014.38219386632,56.9234949969224
Logistic,90,2025,0.0564458208036672,2014.38219386632,58.0952866368625
Logistic,90,2026,0.0564458208036672,2014.38219386632,59.2479921405194
Logistic,90,2027,0.0564458208036672,2014.38219386632,60.3802843342921
Logistic,90,2028,0.0564458208036672,2014.38219386632,61.4909464155177
Logistic,90,2029,0.0564458208036672,2014.38219386632,62.5788751184684
Logistic,90,2030,0.0564458208036672,2014.38219386632,63.6430827200536
Logistic,90,2031,0.0564458208036672,2014.38219386632,64.6826979235805
Logistic,90,2032,0.0564458208036672,2014.38219386632,65.6969656749064
Logistic,90,2033,0.0564458208036672,2014.38219386632,66.6852459789779
Logistic,90,2034,0.0564458208036672,2014.38219386632,67.6470117959402
Logistic,90,2035,0.0564458208036672,2014.38219386632,68.5818461046464
Logistic,90,2036,0.0564458208036672,2014.38219386632,69.4894382275283
Logistic,90,2037,0.0564458208036672,2014.38219386632,70.3695795144829
Logistic,90,2038,0.0564458208036672,2014.38219386632,71.2221584848603
Logistic,90,2039,0.0564458208036672,2014.38219386632,72.0471555259975
Logistic,90,2040,0.0564458208036672,2014.38219386632,72.8446372442796
Logistic,90,2041,0.0564458208036672,2014.38219386632,73.6147505606908
Logistic,90,2042,0.0564458208036672,2014.38219386632,74.3577166375135
Logistic,90,2043,0.0564458208036672,2014.38219386632,75.073824716526
Logistic,90,2044,0.0564458208036672,2014.38219386632,75.7634259420039
Logistic,90,2045,0.0564458208036672,2014.38219386632,76.4269272342966
Logistic,90,2046,0.0564458208036672,2014.38219386632,77.0647852719597
Logistic,90,2047,0.0564458208036672,2014.38219386632,77.6775006325755
Logistic,90,2048,0.0564458208036672,2014.38219386632,78.2656121346681
Logistic,90,2049,0.0564458208036672,2014.38219386632,78.8296914156543
Logistic,90,2050,0.0564458208036672,2014.38219386632,79.370337773691
Logistic,95,2024,0.0541906289661438,2016.43140489421,57.106695372521
Logistic,95,2025,0.0541906289661438,2016.43140489421,58.3340526729978
Logistic,95,2026,0.0541906289661438,2016.43140489421,59.5463365733911
Logistic,95,2027,0.0541906289661438,2016.43140489421,60.7420776249766
Logistic,95,2028,0.0541906289661438,2016.43140489421,61.9198940462977
Logistic,95,2029,0.0541906289661438,2016.43140489421,63.0784969368046
Logistic,95,2030,0.0541906289661438,2016.43140489421,64.2166945196674
Logistic,95,2031,0.0541906289661438,2016.43140489421,65.3333954061414
Logistic,95,2032,0.0541906289661438,2016.43140489421,66.4276108894537
Logistic,95,2033,0.0541906289661438,2016.43140489421,67.4984562906872
Logistic,95,2034,0.0541906289661438,2016.43140489421,68.5451513922694
Logistic,95,2035,0.0541906289661438,2016.43140489421,69.5670200062176
